fid,InputID,TargetID,Distance,Busstops_Count_Pointsdensity,Company_Count_Pointsdensity,Daily_Count_Pointsdensity,Green_Count_Densitypoints,Hospital_Count_Pointsdensity,Restuarant_Count_Pointsdensity,Sample_Count_Pointsdensity,Shops_Count_Pointsdensity,Subway_Count_Pointsdensity,Merged_pm25mean,Merged_pm10mean,Merged_no2mean,Merged_so2mean
"1400","420115405000",1328A,22105.5011870418,8.25448973812161e-07,1.66924125815348e-06,9.17165526457957e-08,5.50299315874774e-08,1.28403173704114e-07,7.33732421166366e-08,0,7.33732421166366e-08,0,,,,
"1401","420111001000",1333A,23614.8621297133,5.97351761987882e-05,0.00012702052336694,6.04013677549085e-05,4.33024511478204e-06,3.02006838774542e-05,7.43913904334351e-06,1.35458949744464e-05,7.43913904334351e-06,2.22063852040105e-07,,,,
"1402","420111001000",1334A,53512.8825355679,5.97351761987882e-05,0.00012702052336694,6.04013677549085e-05,4.33024511478204e-06,3.02006838774542e-05,7.43913904334351e-06,1.35458949744464e-05,7.43913904334351e-06,2.22063852040105e-07,,,,
"1403","420111001000",1332A,3416.89492259919,5.97351761987882e-05,0.00012702052336694,6.04013677549085e-05,4.33024511478204e-06,3.02006838774542e-05,7.43913904334351e-06,1.35458949744464e-05,7.43913904334351e-06,2.22063852040105e-07,,,,
"1404","420111001000",1325A,7047.43820549176,5.97351761987882e-05,0.00012702052336694,6.04013677549085e-05,4.33024511478204e-06,3.02006838774542e-05,7.43913904334351e-06,1.35458949744464e-05,7.43913904334351e-06,2.22063852040105e-07,,,,
"1405","420111001000",1330A,14529.000964285,5.97351761987882e-05,0.00012702052336694,6.04013677549085e-05,4.33024511478204e-06,3.02006838774542e-05,7.43913904334351e-06,1.35458949744464e-05,7.43913904334351e-06,2.22063852040105e-07,,,,
"1406","420111001000",1327A,10936.2500358666,5.97351761987882e-05,0.00012702052336694,6.04013677549085e-05,4.33024511478204e-06,3.02006838774542e-05,7.43913904334351e-06,1.35458949744464e-05,7.43913904334351e-06,2.22063852040105e-07,,,,
"1407","420111001000",1331A,12768.0097892664,5.97351761987882e-05,0.00012702052336694,6.04013677549085e-05,4.33024511478204e-06,3.02006838774542e-05,7.43913904334351e-06,1.35458949744464e-05,7.43913904334351e-06,2.22063852040105e-07,,,,
"1408","420111001000",1326A,9581.12806889605,5.97351761987882e-05,0.00012702052336694,6.04013677549085e-05,4.33024511478204e-06,3.02006838774542e-05,7.43913904334351e-06,1.35458949744464e-05,7.43913904334351e-06,2.22063852040105e-07,,,,
"1409","420111001000",1329A,11974.467177662,5.97351761987882e-05,0.00012702052336694,6.04013677549085e-05,4.33024511478204e-06,3.02006838774542e-05,7.43913904334351e-06,1.35458949744464e-05,7.43913904334351e-06,2.22063852040105e-07,,,,
