城市,监测点,监测点代码,日期,aqi,PM2_5,pm10,co,no2,o3,so2,空气质量等级,首要污染物
武汉,沉湖七壕,1334A,2017/9/8,59,34,68,0.94,53,32,11,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/9/9,66,38,80,1.16,13,107,12,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/9/10,45,29,52,1,12,62,11,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/9/11,37,16,34,0.86,6,92,12,优,
武汉,沉湖七壕,1334A,2017/9/12,60,23,54,1.08,15,107,12,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/9/13,76,28,68,0.99,21,130,12,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/9/14,78,31,74,0.74,17,146,11,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/9/15,78,26,75,0.51,18,127,12,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/9/16,70,25,63,0.43,6,129,11,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/9/17,75,36,81,0.51,6,124,13,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/9/18,118,86,94,0.72,7,87,16,轻度污染,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/9/19,56,39,61,0.9,9,77,17,良,颗粒物(PM10)
